# Sensor Berkeley-ATB1, San Francisco, United States of America (Clarity/dnuyq4477)
# https://aqicn.org/station/@413374/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-08-29T00:00:00.000Z,10.23,22.06,13.63,11.67,21.14,4.348,7
2023-08-30T00:00:00.000Z,10.27,51.96,18.64,12.05,48.1,15.457,11
2023-08-31T00:00:00.000Z,18.6,54.72,27.4,24.08,33.65,8.568,24
2023-09-01T00:00:00.000Z,0.68,45.54,2.54,1.41,5.09,9.443,24
2023-09-02T00:00:00.000Z,1.23,9.35,6,3.02,7.87,2.419,24
2023-09-03T00:00:00.000Z,2.36,12.92,5.22,4.18,8.16,2.924,24
2023-09-04T00:00:00.000Z,3.85,17.93,8.31,6.49,10.4,3.138,24
2023-09-05T00:00:00.000Z,7.78,17.8,11.47,9.78,14.21,2.785,24
2023-09-06T00:00:00.000Z,4.78,20.73,14.5,7.99,17.42,4.962,24
2023-09-07T00:00:00.000Z,4.55,12.42,9.6,6.7,10.41,2.214,24
2023-09-08T00:00:00.000Z,4.45,16.14,10.05,7.04,11.17,3.031,24
2023-09-09T00:00:00.000Z,7.82,20.96,14.23,10.19,16.01,3.715,24
2023-09-10T00:00:00.000Z,10.44,32.65,18.54,12.37,20.53,6.139,24
2023-09-18T00:00:00.000Z,7.17,30.32,16.52,9.07,18.35,6.353,24
2023-09-19T00:00:00.000Z,8.51,158.44,33.92,23.7,46.1,32.39,24
2023-09-20T00:00:00.000Z,37.36,122.78,91.72,70.25,104.47,23.094,24
2023-09-21T00:00:00.000Z,36.58,130.58,54.71,49.21,67.75,21.273,24
2023-09-22T00:00:00.000Z,14.4,289.23,36.97,33.68,42.93,51.58,24
2023-09-23T00:00:00.000Z,19.25,26.59,22.74,21.31,24.06,1.979,24
2023-09-24T00:00:00.000Z,3.48,22.99,4.26,4.01,5.34,6.967,24
2023-09-25T00:00:00.000Z,2.65,4.43,3.01,2.9,3.42,0.454,24
2023-09-26T00:00:00.000Z,2.34,5.66,2.91,2.65,3.72,0.912,24
2023-09-27T00:00:00.000Z,3.17,5.32,4.09,3.64,4.61,0.551,24
2023-09-28T00:00:00.000Z,3.18,7.97,5.87,5.16,6.45,1.14,24
2023-09-29T00:00:00.000Z,1.68,6.96,4.92,1.97,5.85,1.836,24
2023-09-30T00:00:00.000Z,1.17,7.74,3.32,2.09,5.46,1.883,24
2023-10-01T00:00:00.000Z,5.49,8.21,6.89,6.23,7.42,0.744,24
2023-10-02T00:00:00.000Z,5.52,9.49,7.03,6.66,7.43,0.956,24
2023-10-03T00:00:00.000Z,5.38,8.15,6.49,6.18,7.15,0.696,23
2023-10-04T00:00:00.000Z,5.27,8.58,6.08,5.73,6.58,0.832,24
2023-10-05T00:00:00.000Z,3.66,8.11,5.43,4.36,5.86,1.004,24
2023-10-06T00:00:00.000Z,5.34,7.88,6.34,6,7.27,0.696,21
2023-10-07T00:00:00.000Z,4.69,8.85,6.14,5.55,6.56,0.821,24
2023-10-08T00:00:00.000Z,2.46,5.92,3.99,3.21,4.55,0.949,24
2023-10-09T00:00:00.000Z,3.53,6.62,4.57,3.84,5.15,0.859,24
2023-10-10T00:00:00.000Z,0.56,5.83,3.35,1.57,3.96,1.336,24
2023-10-11T00:00:00.000Z,2.87,8.42,5.09,3.98,6.65,1.522,24
2023-10-12T00:00:00.000Z,3.54,7.42,6.1,4.63,6.81,1.201,24
2023-10-13T00:00:00.000Z,3.27,6.19,4.22,3.98,4.71,0.655,24
2023-10-14T00:00:00.000Z,2.95,5.88,4.61,4.26,4.86,0.572,24
2023-10-15T00:00:00.000Z,2.72,21.99,6.5,3.58,10.81,5.591,24
2023-10-16T00:00:00.000Z,0.49,7.77,2.82,1.67,4.01,2.041,24
2023-10-17T00:00:00.000Z,1.01,6.75,2.93,1.92,4.73,1.718,24
2023-10-18T00:00:00.000Z,2.48,7.05,4.36,2.74,5.4,1.359,24
2023-10-19T00:00:00.000Z,4.36,10.4,7.3,5.75,9,1.911,24
2023-10-20T00:00:00.000Z,2.7,14.23,6.89,4.93,11.62,3.522,24
2023-10-21T00:00:00.000Z,3.23,6.54,4.38,3.64,4.8,0.927,24
2023-10-22T00:00:00.000Z,0.79,3.62,2.86,1.88,3.22,0.847,24
2023-10-23T00:00:00.000Z,1.35,6.73,3.43,2.25,4.38,1.416,24
2023-10-24T00:00:00.000Z,6.82,14.54,10.35,9.1,12.63,2.23,24
2023-10-25T00:00:00.000Z,2.24,6.51,3.22,2.79,4.8,1.282,24
2023-10-26T00:00:00.000Z,2,5.19,2.89,2.71,3.71,0.892,24
2023-10-27T00:00:00.000Z,2.74,4.22,3.68,3.25,3.88,0.426,24
2023-10-28T00:00:00.000Z,2.65,8.61,3.84,3.58,5.97,1.871,24
2023-10-29T00:00:00.000Z,4.33,11.71,5.69,4.73,6.8,2.125,24
2023-10-30T00:00:00.000Z,4.05,8.55,5.89,4.57,6.78,1.255,24
2023-10-31T00:00:00.000Z,4.99,12.9,6.84,5.98,8.47,1.975,24
2023-11-01T00:00:00.000Z,7.01,13.27,8.61,7.91,11.43,1.88,24
2023-11-02T00:00:00.000Z,7.94,24.56,9.97,9.03,11.26,3.251,24
2023-11-03T00:00:00.000Z,6.08,23.19,11.04,9.5,12.64,3.642,24
2023-11-04T00:00:00.000Z,1.22,5.28,2.96,2.24,4.09,1.228,24
2023-11-05T00:00:00.000Z,1.11,5.71,2.98,2.72,4.17,1.079,24
2023-11-06T00:00:00.000Z,1.32,4.69,2.25,1.54,3.44,1.042,24
2023-11-07T00:00:00.000Z,3.42,5.76,4.38,4.11,4.84,0.564,24
2023-11-08T00:00:00.000Z,3.11,21.62,4.17,3.36,4.65,3.74,24
2023-11-09T00:00:00.000Z,3.3,9.98,4.8,4.19,6.06,1.556,24
2023-11-10T00:00:00.000Z,3.99,8.1,5.53,4.42,6.89,1.354,24
2023-11-11T00:00:00.000Z,4.94,11.32,6.4,5.96,7.7,1.421,24
2023-11-12T00:00:00.000Z,3.84,14.33,8.02,7.01,10.51,2.653,16
2023-11-13T00:00:00.000Z,2.29,8.96,5.45,3.75,6.88,1.912,24
2023-11-14T00:00:00.000Z,2,6.07,2.8,2.62,3.18,0.837,24
2023-11-15T00:00:00.000Z,2.81,14.15,7.35,5.31,8.6,2.918,24
2023-11-16T00:00:00.000Z,3.08,12.44,5.53,3.89,7.88,3.009,24
2023-11-17T00:00:00.000Z,4.08,18.26,7.99,6.76,11.43,4.008,24
2023-11-18T00:00:00.000Z,1.08,7.3,2.16,1.66,3.87,1.96,24
2023-11-19T00:00:00.000Z,2.52,4.76,3.51,3.23,4,0.599,24
2023-11-20T00:00:00.000Z,2.37,4.45,3.01,2.74,3.84,0.623,24
2023-11-21T00:00:00.000Z,3.19,8.67,4.43,3.78,6.05,1.561,24
2023-11-22T00:00:00.000Z,5.05,14.02,7.42,6.78,7.92,1.686,24
2023-11-23T00:00:00.000Z,4.94,13.16,6.28,5.61,7.01,1.611,24
2023-11-24T00:00:00.000Z,3.38,4.91,4.08,3.6,4.46,0.462,24
2023-11-25T00:00:00.000Z,3.43,5.57,4.29,3.73,4.48,0.526,24
2023-11-26T00:00:00.000Z,3.49,6.16,4.18,3.92,4.62,0.605,24
2023-11-27T00:00:00.000Z,4.57,19.3,5.47,4.94,8.85,4.091,24
