# Sensor UCSF Mount Zion, San Francisco, United States of America (Clarity/dufge0229)
# https://aqicn.org/station/@399343/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-05-15T00:00:00.000Z,1.79,3.41,2.29,2.02,2.95,0.489,24
2023-05-16T00:00:00.000Z,1.43,6.09,3.28,2.23,4.78,1.48,24
2023-05-17T00:00:00.000Z,2.85,7.99,4.87,4.09,5.45,1.166,23
2023-05-18T00:00:00.000Z,3.01,6.03,4.84,4.21,5,0.652,23
2023-05-19T00:00:00.000Z,4.26,45.01,5.2,4.9,5.69,7.978,24
2023-05-20T00:00:00.000Z,1.12,4.34,2.6,2.06,3.58,0.897,24
2023-05-21T00:00:00.000Z,0.68,4.51,2.08,1.38,3.42,1.174,24
2023-05-22T00:00:00.000Z,6.11,54.76,9.25,8.69,10.85,9.367,24
2023-05-23T00:00:00.000Z,6.99,14.02,10.58,8.65,12.12,2.093,24
2023-05-24T00:00:00.000Z,5.74,10.6,8.36,6.09,9.68,1.752,24
2023-05-25T00:00:00.000Z,3.03,6.92,4.16,3.76,5.49,1.028,24
2023-05-26T00:00:00.000Z,1.31,4.03,2.29,1.95,2.97,0.789,24
2023-05-27T00:00:00.000Z,0.5,3.23,1.78,1.21,2.25,0.755,24
2023-05-28T00:00:00.000Z,2.78,8.05,6.8,5.6,7.07,1.559,24
2023-05-29T00:00:00.000Z,1.31,6.24,2.41,2.06,4.53,1.638,23
2023-05-30T00:00:00.000Z,1.44,2.98,1.87,1.69,2.09,0.35,24
2023-05-31T00:00:00.000Z,1.35,31.17,4.93,1.92,6.27,5.781,24
2023-06-01T00:00:00.000Z,5.97,17.89,7.54,7.15,8.08,2.16,24
2023-06-02T00:00:00.000Z,5.14,8.22,6.59,5.81,7.05,0.814,24
2023-06-03T00:00:00.000Z,5.56,8.53,6.89,6.22,7.43,0.8,24
2023-06-04T00:00:00.000Z,6.8,10.68,8.38,7.3,9.14,1.099,24
2023-06-05T00:00:00.000Z,2.63,11.76,4.11,2.96,8.86,2.981,24
2023-06-06T00:00:00.000Z,2.58,4.58,3.43,2.9,3.79,0.513,24
2023-06-07T00:00:00.000Z,1.76,3.3,2.45,2.23,2.75,0.371,24
2023-06-08T00:00:00.000Z,2.27,4.15,2.83,2.61,3.25,0.464,24
2023-06-09T00:00:00.000Z,1.77,3.01,2.27,2.02,2.5,0.317,24
2023-06-10T00:00:00.000Z,1.54,4.76,2.29,1.79,3.32,0.998,24
2023-06-11T00:00:00.000Z,2.12,4.45,3.3,2.95,3.64,0.571,24
2023-06-12T00:00:00.000Z,1.01,4.67,1.94,1.28,2.65,0.973,24
2023-06-13T00:00:00.000Z,1.84,5.33,2.24,2.09,2.47,0.691,24
2023-06-14T00:00:00.000Z,1.52,5.47,2.06,1.81,2.49,0.991,24
2023-06-15T00:00:00.000Z,2.58,9.13,4.97,4.53,7.51,1.824,24
2023-06-16T00:00:00.000Z,2.48,8.25,4.42,3.98,5.51,1.389,24
2023-06-17T00:00:00.000Z,2.96,6.89,5.01,4.42,6.18,1.116,24
2023-06-18T00:00:00.000Z,2.5,6.46,4.63,4.3,5.56,0.944,24
2023-06-19T00:00:00.000Z,2.34,5.34,3.2,2.95,3.64,0.611,24
2023-06-20T00:00:00.000Z,2.25,4,3.06,2.69,3.78,0.57,24
2023-06-21T00:00:00.000Z,3.86,5.38,4.66,4.46,4.88,0.365,24
2023-06-22T00:00:00.000Z,3.96,5.24,4.7,4.48,5.08,0.355,24
2023-06-23T00:00:00.000Z,2.14,5.69,3.99,2.99,4.92,1.094,24
2023-06-24T00:00:00.000Z,2.62,5.87,4.53,4.13,5.08,0.804,24
