# Sensor UCSF Mission Bay, San Francisco, United States of America (Clarity/dssij1361)
# https://aqicn.org/station/@399232/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-05-15T00:00:00.000Z,2.27,4.99,3.29,2.88,4.47,0.814,24
2023-05-16T00:00:00.000Z,2.02,7.24,3.68,2.82,5.6,1.599,24
2023-05-17T00:00:00.000Z,2.94,6.13,4.94,4.47,5.41,0.808,23
2023-05-18T00:00:00.000Z,3.77,5.99,5.31,4.88,5.58,0.501,23
2023-05-19T00:00:00.000Z,4.43,6.28,5.59,5.16,5.8,0.458,24
2023-05-20T00:00:00.000Z,1.67,4.94,3.24,2.5,4.38,0.99,24
2023-05-21T00:00:00.000Z,1.31,5.38,2.52,1.58,3.84,1.318,24
2023-05-22T00:00:00.000Z,7.08,12.83,9.24,8.68,11.16,1.633,24
2023-05-23T00:00:00.000Z,7.4,14.18,10.83,9.11,12.46,1.909,24
2023-05-24T00:00:00.000Z,5.49,11.31,8.8,6.52,11.11,2.163,24
2023-05-25T00:00:00.000Z,3.88,7.91,4.68,4.5,6.91,1.406,24
2023-05-26T00:00:00.000Z,1.82,4.23,2.64,2.09,3.24,0.736,24
2023-05-27T00:00:00.000Z,0.63,3.88,2,1.23,2.65,0.826,24
2023-05-28T00:00:00.000Z,3.11,8.73,7.5,6.75,7.81,1.525,24
2023-05-29T00:00:00.000Z,2.06,8.22,2.95,2.27,6.26,2.017,23
2023-05-30T00:00:00.000Z,1.8,3.13,2.29,1.99,2.76,0.407,24
2023-05-31T00:00:00.000Z,1.8,7.76,5.51,2.25,6.6,2.155,24
2023-06-01T00:00:00.000Z,6.1,9.36,8.14,7.77,8.8,0.804,24
2023-06-02T00:00:00.000Z,6.15,8.15,7.37,6.95,7.7,0.451,24
2023-06-03T00:00:00.000Z,6.4,9.22,7.72,7.24,7.93,0.673,24
2023-06-04T00:00:00.000Z,7.53,12.06,8.38,7.98,9.91,1.242,24
2023-06-05T00:00:00.000Z,3.62,10.64,5.32,4.19,8.85,2.365,24
2023-06-06T00:00:00.000Z,2.61,4.78,3.91,3.49,4.3,0.524,24
2023-06-07T00:00:00.000Z,1.86,3.68,2.95,2.62,3.32,0.462,24
2023-06-08T00:00:00.000Z,2.58,4.09,3.2,2.86,3.67,0.455,24
2023-06-09T00:00:00.000Z,2.54,3.87,2.91,2.75,3.25,0.356,24
2023-06-10T00:00:00.000Z,2.14,5.27,2.95,2.45,3.87,0.935,24
2023-06-11T00:00:00.000Z,3.15,4.63,4.05,3.56,4.29,0.434,24
2023-06-12T00:00:00.000Z,1.37,3.93,2.38,1.95,3.08,0.768,24
2023-06-13T00:00:00.000Z,2.31,3.54,2.82,2.58,3.07,0.324,24
2023-06-14T00:00:00.000Z,1.78,5.09,2.83,2.52,3.41,0.815,24
2023-06-15T00:00:00.000Z,4.4,9.6,6.04,5.18,7.15,1.425,24
2023-06-16T00:00:00.000Z,3.34,6.89,5.09,4.78,5.74,0.96,24
2023-06-17T00:00:00.000Z,4.29,7.29,6.22,5.27,6.97,0.971,24
2023-06-18T00:00:00.000Z,3.34,7.04,5.64,5.3,6.08,0.847,24
2023-06-19T00:00:00.000Z,3.66,4.83,4.11,3.95,4.37,0.277,24
2023-06-20T00:00:00.000Z,2.72,4.84,3.59,3.1,4.24,0.641,24
2023-06-21T00:00:00.000Z,4.26,6.31,5.45,4.98,5.76,0.499,24
2023-06-22T00:00:00.000Z,4.65,6.06,5.39,5.18,5.7,0.368,24
2023-06-23T00:00:00.000Z,2.36,5.56,3.75,3.27,4.46,0.869,24
2023-06-24T00:00:00.000Z,3.76,6.42,5.12,4.76,5.5,0.642,24
2023-06-25T00:00:00.000Z,1.65,5.5,3.58,2.8,4.7,1.089,24
2023-06-26T00:00:00.000Z,2.93,5.31,4.2,3.31,4.96,0.847,9
2023-06-27T00:00:00.000Z,1.7,5,3.22,2.46,4.37,1.014,24
2023-06-28T00:00:00.000Z,1.41,4.59,3.17,1.96,4.22,1.14,24
2023-06-29T00:00:00.000Z,1.11,5.27,2.93,1.85,4.53,1.384,24
2023-06-30T00:00:00.000Z,3.76,6.01,5.05,4.58,5.37,0.647,24
2023-07-01T00:00:00.000Z,2.68,8.44,4.65,3.01,5.73,1.801,24
2023-07-02T00:00:00.000Z,4.66,9.46,6.68,6.1,7.09,1.131,24
2023-07-03T00:00:00.000Z,3.34,8.77,6.82,4.82,7.32,1.542,24
2023-07-04T00:00:00.000Z,6.39,8.69,7.65,7.03,8.23,0.669,24
2023-07-05T00:00:00.000Z,4.48,20.14,6.22,5.05,6.91,3.321,24
2023-07-06T00:00:00.000Z,2.4,4.21,3.31,2.76,3.67,0.535,24
2023-07-07T00:00:00.000Z,2.71,5.75,4.09,3.18,5.01,0.941,24
2023-07-08T00:00:00.000Z,3.44,5.83,4.47,4.16,5.33,0.695,23
2023-07-09T00:00:00.000Z,0.87,3.77,2.29,1.75,2.76,0.767,24
2023-07-10T00:00:00.000Z,0.71,4.72,1.86,1.44,2.68,1.101,24
2023-07-11T00:00:00.000Z,2.94,5.21,4.45,3.86,4.82,0.639,24
2023-07-12T00:00:00.000Z,1.68,7.17,4.03,2.25,4.96,1.507,24
2023-07-13T00:00:00.000Z,1.22,5.22,3.29,2.31,4.41,1.174,24
2023-07-14T00:00:00.000Z,1.46,5.6,3.53,2.17,4.93,1.375,24
2023-07-15T00:00:00.000Z,1.8,7.84,4.29,2.48,5.4,1.701,24
2023-07-16T00:00:00.000Z,3.61,8.44,6.31,5.76,7.59,1.353,24
2023-07-17T00:00:00.000Z,6.08,8.8,7.51,6.84,7.96,0.716,24
2023-07-18T00:00:00.000Z,4.43,11.03,8.6,7.93,9.23,1.52,24
2023-07-19T00:00:00.000Z,4.07,12.02,5.77,4.53,8.92,2.563,24
2023-07-20T00:00:00.000Z,5.24,10.11,8.78,7.09,9.02,1.445,24
2023-07-21T00:00:00.000Z,5.87,9.35,8.02,7.4,8.69,0.913,24
2023-07-22T00:00:00.000Z,5.24,9.5,6.85,6.01,7.64,1.102,24
2023-07-23T00:00:00.000Z,5.85,9.56,6.98,6.67,7.62,0.98,24
2023-07-24T00:00:00.000Z,2.45,8.16,5.05,3.31,6.64,1.819,24
2023-07-25T00:00:00.000Z,1.4,5.42,4.13,2.61,4.96,1.361,24
2023-07-26T00:00:00.000Z,4.2,8.63,6.63,5.05,7.41,1.272,24
2023-07-27T00:00:00.000Z,6.66,9.13,7.95,7.25,8.4,0.665,24
2023-07-28T00:00:00.000Z,4.75,8,6.49,5.74,6.89,0.809,24
2023-07-29T00:00:00.000Z,4.04,7.17,5.81,5.04,6.09,0.753,24
2023-07-30T00:00:00.000Z,4.44,8.08,6.52,5.75,7.17,0.966,24
2023-07-31T00:00:00.000Z,7.13,8.65,7.88,7.67,8.16,0.374,24
2023-08-01T00:00:00.000Z,5.11,8.83,7.02,5.99,7.98,1.179,20
2023-08-02T00:00:00.000Z,2.41,6.17,3.59,3.22,4.36,0.969,24
2023-08-03T00:00:00.000Z,1.89,6.71,3.22,2.49,4.78,1.286,24
2023-08-04T00:00:00.000Z,1.09,5.99,3.35,1.73,3.96,1.367,24
2023-08-05T00:00:00.000Z,3.27,7.41,5.92,5.09,6.35,1.057,24
2023-08-06T00:00:00.000Z,3.86,7.8,6.09,5.69,6.75,0.861,24
2023-08-07T00:00:00.000Z,6.84,10.6,8.9,8.07,9.24,0.914,24
2023-08-08T00:00:00.000Z,0.73,6.54,2.34,1.46,2.96,1.302,24
2023-08-09T00:00:00.000Z,0.69,5.25,2.25,1.41,3.56,1.273,24
2023-08-10T00:00:00.000Z,0.31,7.01,2.17,0.8,2.86,1.476,24
2023-08-11T00:00:00.000Z,2.13,6.25,4.37,3.65,4.84,1.02,24
2023-08-12T00:00:00.000Z,3.75,8.08,5.11,4.3,6.17,1.211,24
2023-08-13T00:00:00.000Z,0.96,5.17,2.49,1.66,4.01,1.266,24
2023-08-14T00:00:00.000Z,2.17,4.71,3.62,2.89,4.13,0.748,24
2023-08-15T00:00:00.000Z,1.57,5.7,2.42,1.71,3.99,1.262,20
2023-08-16T00:00:00.000Z,0.9,5.8,3.33,1.33,4.44,1.586,24
2023-08-17T00:00:00.000Z,1.24,4.17,2.66,1.58,3.56,1.008,24
2023-08-18T00:00:00.000Z,3.55,7.97,6.55,6.07,7.06,1.121,24
2023-08-19T00:00:00.000Z,3.62,6.41,5.27,4.8,5.66,0.763,24
2023-08-20T00:00:00.000Z,5.49,10.1,8.11,7.38,8.71,1.052,24
2023-08-21T00:00:00.000Z,5.65,12.13,7.51,6.91,8.89,1.631,24
2023-08-22T00:00:00.000Z,5.54,8.99,7.76,7.46,8.27,0.728,24
2023-08-23T00:00:00.000Z,5.12,11.67,7.97,6.98,8.86,1.688,24
2023-08-24T00:00:00.000Z,6.47,12.85,8.21,7.27,9.44,1.763,24
2023-08-25T00:00:00.000Z,8.19,18.8,12.49,9.91,14.95,3.196,24
2023-08-26T00:00:00.000Z,11.67,17.14,14.07,13.23,15.12,1.311,24
2023-08-27T00:00:00.000Z,9.25,20.53,11.95,11.2,14.65,3.08,24
2023-08-28T00:00:00.000Z,8.76,14.19,11.48,10.02,12.24,1.571,24
2023-08-29T00:00:00.000Z,7.73,13.86,11.49,9.19,12.68,1.936,24
2023-08-30T00:00:00.000Z,7.82,41.52,9.27,8.86,29.6,11.688,11
2023-08-31T00:00:00.000Z,10.02,46.13,12.16,11.04,14.79,8.558,24
2023-09-01T00:00:00.000Z,0.54,23.09,3.08,1.58,3.8,4.633,24
2023-09-02T00:00:00.000Z,3.15,5.15,4.05,3.71,4.26,0.43,24
2023-09-03T00:00:00.000Z,2.85,5.42,3.89,3.27,4.29,0.722,24
2023-09-04T00:00:00.000Z,2.17,6.13,4.09,3.2,5.43,1.232,24
2023-09-05T00:00:00.000Z,4.97,8.09,6.53,5.61,7.12,0.886,24
2023-09-06T00:00:00.000Z,4.93,7.83,6.66,6.32,6.91,0.608,24
2023-09-07T00:00:00.000Z,4.44,5.68,5.05,4.84,5.22,0.325,24
2023-09-08T00:00:00.000Z,2.67,6.82,5.03,4.65,5.75,0.991,24
2023-09-09T00:00:00.000Z,4.68,7.84,6.42,6.05,6.96,0.872,24
2023-09-10T00:00:00.000Z,5.52,7.85,6.94,6.4,7.13,0.556,24
2023-09-18T00:00:00.000Z,5.47,8.28,6.22,5.77,7.23,0.904,24
2023-09-19T00:00:00.000Z,5.81,86.97,9.69,7.11,25.5,19.641,24
2023-09-20T00:00:00.000Z,20.98,68.29,44.28,41.09,47.54,9.879,24
2023-09-21T00:00:00.000Z,14.85,61.1,24.19,19.39,33.84,12.363,24
2023-09-22T00:00:00.000Z,16.45,53.06,37.5,30.86,41.34,8.337,24
2023-09-23T00:00:00.000Z,22.13,27.4,25.08,23.66,26.39,1.52,24
2023-09-24T00:00:00.000Z,3.89,25.25,5.09,4.87,6.06,7.428,24
2023-09-25T00:00:00.000Z,3.05,6.27,3.66,3.39,4.2,0.691,24
2023-09-26T00:00:00.000Z,2.54,6.53,3.3,2.91,4.19,1.134,24
