# Sensor UCSF Parnassus, San Francisco, United States of America (Clarity/dnqli9651)
# https://aqicn.org/station/@398923/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-05-15T00:00:00.000Z,2.33,4.11,3.09,2.8,3.45,0.531,24
2023-05-16T00:00:00.000Z,2.27,5.62,3.37,2.71,4.43,1.057,24
2023-05-17T00:00:00.000Z,2.9,5.63,3.69,3.03,4.42,0.796,23
2023-05-18T00:00:00.000Z,3.22,5.16,4.61,3.84,4.84,0.567,23
2023-05-19T00:00:00.000Z,3.41,5.37,4.68,4.24,4.92,0.527,24
2023-05-20T00:00:00.000Z,2.06,4.33,3.01,2.29,3.67,0.724,24
2023-05-21T00:00:00.000Z,1.82,4.97,2.63,2.15,3.92,1.063,24
2023-05-22T00:00:00.000Z,6.03,8.27,7.43,6.77,7.87,0.671,24
2023-05-23T00:00:00.000Z,6.6,8.57,7.61,7.28,8.26,0.571,24
2023-05-24T00:00:00.000Z,5.58,7.85,6.39,5.85,6.86,0.591,24
2023-05-25T00:00:00.000Z,4.05,6.56,4.54,4.26,5.16,0.72,24
2023-05-26T00:00:00.000Z,2.29,4.76,3.31,2.52,3.65,0.704,24
2023-05-27T00:00:00.000Z,1.87,4.19,2.71,2.37,2.96,0.545,24
2023-05-28T00:00:00.000Z,3.27,6.5,6.02,5.69,6.24,1.006,24
2023-05-29T00:00:00.000Z,2.44,5.91,3.35,2.87,4.59,1.072,23
2023-05-30T00:00:00.000Z,2.16,2.95,2.75,2.67,2.85,0.186,24
2023-05-31T00:00:00.000Z,2.02,6.39,4.72,2.71,5.54,1.479,24
2023-06-01T00:00:00.000Z,5.86,7.35,6.49,6.31,6.7,0.347,24
2023-06-02T00:00:00.000Z,5.63,6.45,5.95,5.79,6.3,0.254,24
2023-06-03T00:00:00.000Z,5.21,6.81,5.9,5.66,6.21,0.407,24
2023-06-04T00:00:00.000Z,6.13,7.2,6.58,6.4,6.8,0.274,24
2023-06-05T00:00:00.000Z,3.16,7.74,3.61,3.39,4.38,1.382,24
2023-06-06T00:00:00.000Z,3.28,4.33,4.01,3.78,4.12,0.256,24
2023-06-07T00:00:00.000Z,2.54,3.73,3.12,2.9,3.31,0.278,24
2023-06-08T00:00:00.000Z,2.75,4.13,3.21,3.1,3.4,0.307,24
2023-06-09T00:00:00.000Z,2.19,3.44,3.06,2.86,3.14,0.289,24
2023-06-10T00:00:00.000Z,1.92,4.97,3.01,2.68,3.99,0.855,24
2023-06-11T00:00:00.000Z,3.25,4.36,3.92,3.67,3.99,0.254,24
2023-06-12T00:00:00.000Z,2.2,4.59,2.56,2.38,3.45,0.741,24
2023-06-13T00:00:00.000Z,2.67,3.51,3.19,3.05,3.36,0.214,24
2023-06-14T00:00:00.000Z,2.5,5.07,2.91,2.82,3.16,0.623,24
2023-06-15T00:00:00.000Z,3.91,7.02,5.2,4.86,5.77,0.72,24
2023-06-16T00:00:00.000Z,3.66,6.57,4.76,4.38,5.32,0.827,24
2023-06-17T00:00:00.000Z,3.7,5.57,5.11,4.59,5.37,0.506,24
2023-06-18T00:00:00.000Z,3.43,5.53,5.01,4.4,5.38,0.568,24
2023-06-19T00:00:00.000Z,3.58,4.51,3.98,3.78,4.09,0.23,24
2023-06-20T00:00:00.000Z,2.99,4.7,3.76,3.51,3.98,0.365,24
2023-06-21T00:00:00.000Z,3.81,5.36,4.82,4.26,4.99,0.453,24
2023-06-22T00:00:00.000Z,4.36,5.16,4.86,4.61,4.94,0.217,24
2023-06-23T00:00:00.000Z,3.23,5.29,4.22,3.76,4.62,0.519,24
2023-06-24T00:00:00.000Z,3.07,5.7,4.73,4.49,4.95,0.554,24
2023-06-25T00:00:00.000Z,2,4.62,3.39,2.61,4.05,0.794,24
2023-06-26T00:00:00.000Z,2.87,4.63,4.03,3.16,4.49,0.636,10
2023-06-27T00:00:00.000Z,1.97,5.35,3.15,2.33,3.83,0.886,24
2023-06-28T00:00:00.000Z,1.75,3.98,2.6,2.1,3.54,0.738,24
2023-06-29T00:00:00.000Z,1.76,4.58,2.42,2.17,4.28,1.012,24
2023-06-30T00:00:00.000Z,2.52,5.2,3.53,2.84,4.63,0.888,24
2023-07-01T00:00:00.000Z,2.6,7.09,3.9,3.06,4.74,1.265,24
2023-07-02T00:00:00.000Z,5.29,7.09,5.9,5.41,6.17,0.467,24
2023-07-03T00:00:00.000Z,2.67,6.66,4.94,2.98,5.99,1.45,24
2023-07-04T00:00:00.000Z,5.4,6.5,5.81,5.59,6.13,0.358,24
2023-07-05T00:00:00.000Z,4.24,6.11,5.07,4.79,5.25,0.454,24
2023-07-06T00:00:00.000Z,2.41,4.05,3.69,3.27,3.82,0.42,24
2023-07-07T00:00:00.000Z,2.47,4.69,3.57,2.72,4.13,0.738,24
2023-07-08T00:00:00.000Z,3.42,4.83,4.18,3.56,4.51,0.468,23
2023-07-09T00:00:00.000Z,1.5,3.41,2.29,1.94,2.78,0.493,24
2023-07-10T00:00:00.000Z,1.22,3.95,2,1.69,2.6,0.816,24
2023-07-11T00:00:00.000Z,2.15,5.03,3.41,2.92,4.34,0.836,24
2023-07-12T00:00:00.000Z,2.18,4.63,3.62,2.38,4.17,0.859,24
2023-07-13T00:00:00.000Z,1.78,4.2,2.95,2.29,3.77,0.783,24
2023-07-14T00:00:00.000Z,1.95,4.98,3.35,2.12,3.96,1.025,24
2023-07-15T00:00:00.000Z,2.11,5.63,3.36,2.25,4.87,1.251,24
2023-07-16T00:00:00.000Z,3.29,7.37,4.67,4.26,6.08,1.203,24
2023-07-17T00:00:00.000Z,5.07,6.75,6.21,5.72,6.46,0.455,24
2023-07-18T00:00:00.000Z,3.54,7.89,6.38,5.17,6.71,1.121,24
2023-07-19T00:00:00.000Z,3,7.63,5.01,3.5,6.3,1.495,24
2023-07-20T00:00:00.000Z,3.27,7.53,4.95,4.3,6.12,1.105,24
