# Sensor Howard St. & 6th St. (BC), San Francisco, United States of America (Clarity/dcdbk0901)
# https://aqicn.org/station/@525955/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-02-05T00:00:00.000Z,3.97,4.26,4.13,4.01,4.21,0.103,6
2025-02-06T00:00:00.000Z,2.34,6.2,4.45,3.61,5.29,1.075,24
2025-02-07T00:00:00.000Z,2.79,5.42,3.53,3.08,3.92,0.66,24
2025-02-08T00:00:00.000Z,3.21,10.93,3.77,3.54,4.25,1.526,24
2025-02-09T00:00:00.000Z,3.98,41.01,5.47,4.25,7.16,7.345,24
2025-02-10T00:00:00.000Z,4.38,11.57,6.87,4.79,8.98,2.312,24
2025-02-11T00:00:00.000Z,4.82,10.81,6.12,5.04,7.8,1.643,24
2025-02-12T00:00:00.000Z,3.82,9.44,4.63,4.32,7.95,1.868,24
2025-02-13T00:00:00.000Z,2.25,9.42,4.49,3.31,7.21,2.299,24
2025-02-14T00:00:00.000Z,4.24,7.48,6.38,5.61,7.02,0.78,24
2025-02-15T00:00:00.000Z,4.87,13.37,7.63,6.15,9.11,2.44,24
2025-02-16T00:00:00.000Z,4.46,10.64,7.44,6.62,9.14,1.754,24
2025-02-17T00:00:00.000Z,3.27,6.04,4.13,3.76,5.11,0.827,24
2025-02-18T00:00:00.000Z,4.67,7.52,5.65,5.09,6.24,0.835,24
2025-02-19T00:00:00.000Z,2.83,6.69,5.32,4.74,6.01,1.085,24
2025-02-20T00:00:00.000Z,4.13,7.31,5.85,5,6.12,0.81,24
2025-02-21T00:00:00.000Z,4.28,12.73,6.99,5.77,10.14,2.46,24
2025-02-22T00:00:00.000Z,6.19,10.48,7.29,6.72,8.19,1.228,24
2025-02-23T00:00:00.000Z,4.41,6.83,5.14,4.93,5.57,0.595,24
2025-02-24T00:00:00.000Z,2.59,7.45,3.72,3.24,6.3,1.689,24
2025-02-25T00:00:00.000Z,3.63,6.85,4.94,4.66,5.5,0.741,24
2025-02-26T00:00:00.000Z,4.58,19.35,9.15,7.06,11.41,3.433,24
2025-02-27T00:00:00.000Z,4.66,7.41,6.65,6.24,7.16,0.689,17
2025-02-28T00:00:00.000Z,10.21,14.25,13.87,11.16,13.92,1.581,6
2025-03-01T00:00:00.000Z,3.45,12.27,5.2,4.82,5.88,1.885,19
2025-03-02T00:00:00.000Z,3.01,5.51,3.86,3.71,4.59,0.685,24
2025-03-03T00:00:00.000Z,3.66,4.91,4.3,4.01,4.55,0.329,24
2025-03-04T00:00:00.000Z,2.92,5.09,3.58,3.22,4.01,0.568,24
2025-03-05T00:00:00.000Z,4.01,5.76,5.15,4.41,5.43,0.543,24
2025-03-06T00:00:00.000Z,3.82,5.38,5.04,3.88,5.31,0.666,5
2025-03-07T00:00:00.000Z,5.05,10.65,8.66,5.69,9.63,1.943,19
2025-03-08T00:00:00.000Z,5.65,10.49,7.38,6.69,8.01,1.168,24
2025-03-09T00:00:00.000Z,4.69,12.41,7.21,5.88,8.91,2.089,24
2025-03-10T00:00:00.000Z,4.84,9.24,6.1,5.85,6.66,0.945,24
2025-03-11T00:00:00.000Z,4.44,10.96,6.27,5.11,7.62,1.643,24
2025-03-12T00:00:00.000Z,3.08,5.39,3.68,3.4,4.13,0.613,24
2025-03-13T00:00:00.000Z,3.07,4.83,3.7,3.47,3.88,0.369,24
2025-03-14T00:00:00.000Z,2.42,6.71,3.84,2.78,4.67,1.247,24
2025-03-15T00:00:00.000Z,6.34,15.46,10.41,9.09,12.88,2.588,24
2025-03-16T00:00:00.000Z,4.07,13.53,9.36,5.31,11.45,3.067,24
2025-03-17T00:00:00.000Z,2.74,6.23,4.21,3.28,4.88,0.945,24
2025-03-18T00:00:00.000Z,3.99,5.89,4.51,4.38,4.73,0.473,24
2025-03-19T00:00:00.000Z,3.97,7.47,5.69,4.63,6.46,1.018,24
2025-03-20T00:00:00.000Z,2.91,4.82,3.98,3.32,4.47,0.616,24
2025-03-21T00:00:00.000Z,4.66,8.31,6.17,5.49,7.12,1.024,24
2025-03-22T00:00:00.000Z,2.97,6.42,5.24,4.34,5.87,1.029,24
2025-03-23T00:00:00.000Z,5.28,10.49,6.53,5.93,7.91,1.521,24
2025-03-24T00:00:00.000Z,4.43,10.54,5.49,4.99,6.65,1.602,24
2025-03-25T00:00:00.000Z,4.79,8.96,7.24,6.02,8.26,1.312,24
2025-03-26T00:00:00.000Z,4.42,7.96,6.19,5.03,6.88,0.996,24
2025-03-27T00:00:00.000Z,2.37,4.84,3.67,2.71,4.5,0.904,8
2025-03-28T00:00:00.000Z,3.98,8.05,5.01,4.51,6.57,1.236,20
2025-03-29T00:00:00.000Z,3.88,5.82,4.45,4.22,4.73,0.462,24
2025-03-30T00:00:00.000Z,2.83,5.21,4.44,3.73,4.7,0.639,24
2025-03-31T00:00:00.000Z,3.7,7.59,4.71,4.22,6.33,1.187,24
2025-04-01T00:00:00.000Z,3.99,6.18,4.62,4.13,5.08,0.638,24
2025-04-02T00:00:00.000Z,3.6,5.25,4.55,4.18,4.69,0.393,24
2025-04-03T00:00:00.000Z,4.43,8.11,5.35,5.05,5.89,0.804,24
2025-04-04T00:00:00.000Z,4.37,8.86,5.65,4.59,6.78,1.3,24
2025-04-05T00:00:00.000Z,4.79,10.55,5.57,5.21,6.15,1.164,24
2025-04-06T00:00:00.000Z,4.38,6.01,5.05,4.73,5.55,0.502,24
2025-04-07T00:00:00.000Z,2.52,5.27,4.36,3.79,4.86,0.712,24
2025-04-08T00:00:00.000Z,3.68,5.27,4.38,4.09,4.82,0.442,24
2025-04-09T00:00:00.000Z,4.44,7.41,5.47,4.76,6.33,0.857,24
2025-04-10T00:00:00.000Z,2.6,6.89,4.63,3.79,6.21,1.409,24
2025-04-11T00:00:00.000Z,3.54,6.49,4.12,3.91,4.44,0.823,24
2025-04-12T00:00:00.000Z,5.69,9.21,6.66,6.07,7.32,0.922,24
2025-04-13T00:00:00.000Z,7.36,12.98,10.17,8.34,11.14,1.536,23
2025-04-14T00:00:00.000Z,6.31,8.97,7.98,6.74,8.32,0.813,24
2025-04-15T00:00:00.000Z,6.15,8,6.9,6.54,7.37,0.52,24
2025-04-16T00:00:00.000Z,6.27,7.41,6.73,6.5,7.15,0.36,24
2025-04-17T00:00:00.000Z,2.6,6.46,4.9,3.2,5.75,1.33,24
2025-04-18T00:00:00.000Z,5.4,7.83,6.73,6.05,7.07,0.642,24
2025-04-19T00:00:00.000Z,6.21,8.42,7.08,6.49,7.66,0.632,21
2025-04-20T00:00:00.000Z,5.26,7.81,6.46,5.82,6.76,0.702,24
2025-04-21T00:00:00.000Z,6.58,11.08,8.56,7.8,9.17,1.13,24
2025-04-22T00:00:00.000Z,5.56,9.1,6.6,5.91,7.97,1.075,24
2025-04-23T00:00:00.000Z,7.83,9.74,8.43,8.18,8.86,0.473,24
2025-04-24T00:00:00.000Z,5.28,8.33,7.05,6.37,8.17,0.991,24
2025-04-25T00:00:00.000Z,3.9,5.38,4.84,4.21,5.07,0.488,24
2025-04-26T00:00:00.000Z,3.84,5.18,4.25,4.04,4.43,0.318,24
2025-04-27T00:00:00.000Z,4.29,8.41,5.47,4.74,7.32,1.368,24
2025-04-28T00:00:00.000Z,5.71,8.47,7.5,7.01,7.9,0.707,24
2025-04-29T00:00:00.000Z,6.26,9.57,8.13,7.5,8.64,0.861,23
2025-04-30T00:00:00.000Z,7.25,9.23,8.4,7.85,8.66,0.521,24
2025-05-01T00:00:00.000Z,6.68,9.33,7.89,7.18,8.61,0.823,24
2025-05-02T00:00:00.000Z,3.74,8.97,7.66,6.53,7.89,1.502,21
2025-05-03T00:00:00.000Z,3.89,7.84,4.95,4.54,7.44,1.453,20
2025-05-04T00:00:00.000Z,6.76,9.52,7.48,7.15,7.99,0.744,24
2025-05-05T00:00:00.000Z,5.01,13.33,6.89,5.53,11.94,3.149,24
2025-05-06T00:00:00.000Z,7.99,13.24,11.33,10.16,12.41,1.347,24
2025-05-07T00:00:00.000Z,6.91,10.91,8.86,7.98,9.81,1.111,24
2025-05-08T00:00:00.000Z,3.3,7.17,5.36,4.38,6.53,1.155,24
2025-05-09T00:00:00.000Z,6.56,11,8.65,8.27,9.32,1.054,24
2025-05-10T00:00:00.000Z,6.64,9.51,8.02,7.39,8.23,0.64,24
2025-05-11T00:00:00.000Z,3.35,7.19,5.55,4.59,6.69,1.21,24
2025-05-12T00:00:00.000Z,2.75,5.45,4.57,3.94,5.09,0.814,24
2025-05-13T00:00:00.000Z,3.94,6.4,4.47,4.18,4.69,0.545,24
2025-05-14T00:00:00.000Z,6.08,8.84,7.76,7.36,8.15,0.633,24
2025-05-15T00:00:00.000Z,7.5,9.24,8.67,8.03,9.09,0.595,24
2025-05-16T00:00:00.000Z,6.82,10.18,9.24,8.34,9.75,1.02,24
2025-05-17T00:00:00.000Z,4.47,7.97,5.86,5.11,7.11,1.086,24
2025-05-18T00:00:00.000Z,5.71,8.91,8.15,6.94,8.63,0.914,24
2025-05-19T00:00:00.000Z,4.45,10.29,8.81,6.56,9.18,1.723,24
2025-05-20T00:00:00.000Z,4.84,7.53,6.44,5.96,6.72,0.616,24
2025-05-21T00:00:00.000Z,6.85,10.71,10.09,8.11,10.46,1.312,24
2025-05-22T00:00:00.000Z,5.4,8.13,6.77,6.31,7.64,0.769,24
