# Sensor Hyde St. & Golden Gate Ave. (BC), San Francisco, United States of America (Clarity/devxa9067)
# https://aqicn.org/station/@525958/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-02-05T00:00:00.000Z,4.3,5.01,4.59,4.46,4.95,0.255,6
2025-02-06T00:00:00.000Z,2.67,7.68,4.55,3.76,5.39,1.262,24
2025-02-07T00:00:00.000Z,2.99,6.81,3.9,3.17,4.49,0.984,24
2025-02-08T00:00:00.000Z,3.3,6.21,3.94,3.57,4.71,0.786,24
2025-02-09T00:00:00.000Z,3.92,7.48,5.19,4.46,6.27,1.08,24
2025-02-10T00:00:00.000Z,4.46,9.76,5.79,4.88,6.94,1.33,24
2025-02-11T00:00:00.000Z,4.84,8.63,6.19,5.51,6.67,0.906,24
2025-02-12T00:00:00.000Z,4.08,9.19,5.09,4.43,8.4,1.914,24
2025-02-13T00:00:00.000Z,2.46,10.07,5.04,3.54,8,2.358,24
2025-02-14T00:00:00.000Z,5.25,9.99,6.86,6.17,7.67,1.184,24
2025-02-15T00:00:00.000Z,4.83,10.46,8.08,6.35,9.43,1.675,24
2025-02-16T00:00:00.000Z,4.67,10.98,7.61,6.92,9.14,1.755,24
2025-02-17T00:00:00.000Z,3.3,5.83,4.47,3.83,5.36,0.815,24
2025-02-18T00:00:00.000Z,4.94,10.23,5.95,5.52,6.28,1.222,24
2025-02-19T00:00:00.000Z,3.37,10.39,5.75,5.14,6.9,1.515,24
2025-02-20T00:00:00.000Z,4.03,7.2,5.22,4.78,5.92,0.764,24
2025-02-21T00:00:00.000Z,4.51,10.93,7.44,6.12,9.61,2.001,24
2025-02-22T00:00:00.000Z,5.6,10.1,7.56,6.86,8.78,1.209,24
2025-02-23T00:00:00.000Z,4.65,8.35,5.39,5.09,5.87,0.822,24
2025-02-24T00:00:00.000Z,2.81,8.25,4.05,3.55,6.66,1.84,24
2025-02-25T00:00:00.000Z,3.81,6.84,5.25,4.98,5.76,0.775,24
2025-02-26T00:00:00.000Z,4.51,12.61,9.06,7.33,10.46,2.116,24
2025-02-27T00:00:00.000Z,4.69,8.02,6.62,6.34,7.23,0.831,17
2025-02-28T00:00:00.000Z,10.15,14.66,13.38,10.3,13.65,1.726,6
2025-03-01T00:00:00.000Z,3.92,12.18,5.45,4.84,6.57,1.803,19
2025-03-02T00:00:00.000Z,3.15,5.93,4.38,3.8,5.04,0.809,24
2025-03-03T00:00:00.000Z,3.7,5.18,4.47,4.25,4.75,0.39,24
2025-03-04T00:00:00.000Z,3.14,6.65,4.17,3.53,4.36,0.748,24
2025-03-05T00:00:00.000Z,3.98,6.32,5.26,4.65,5.87,0.717,24
2025-03-06T00:00:00.000Z,4.01,5.81,5.33,4.07,5.72,0.759,5
2025-03-07T00:00:00.000Z,5.2,9.85,8.89,5.95,9.48,1.803,19
2025-03-08T00:00:00.000Z,5.89,10.4,7.51,6.84,8.23,1.101,24
2025-03-09T00:00:00.000Z,5.11,20.49,7.16,6.21,8.1,3.045,24
2025-03-10T00:00:00.000Z,5.12,11.47,6.22,5.76,6.83,1.325,24
2025-03-11T00:00:00.000Z,4.67,19.55,6.48,5.56,7.49,2.984,24
2025-03-12T00:00:00.000Z,3.31,5.72,3.91,3.69,4.3,0.664,24
2025-03-13T00:00:00.000Z,3.02,4.87,3.96,3.7,4.09,0.422,24
2025-03-14T00:00:00.000Z,2.64,7.88,4.07,3.02,4.98,1.466,24
2025-03-15T00:00:00.000Z,6.74,17.13,11.25,10.05,14.15,2.807,24
2025-03-16T00:00:00.000Z,4.41,14.14,10,6.14,11.63,3.103,24
2025-03-17T00:00:00.000Z,2.96,7.52,4.66,3.43,5.41,1.325,24
2025-03-18T00:00:00.000Z,4.11,6.14,4.59,4.34,4.93,0.539,24
2025-03-19T00:00:00.000Z,4.07,7.45,5.82,4.94,6.32,0.901,24
2025-03-20T00:00:00.000Z,3.04,10.56,4.21,3.47,4.59,1.439,24
2025-03-21T00:00:00.000Z,4.99,9.11,6.25,5.84,6.58,1.08,24
2025-03-22T00:00:00.000Z,2.92,7.17,5.59,4.51,6.05,1.138,24
2025-03-23T00:00:00.000Z,5.47,12.97,6.41,6.08,9.38,2.115,24
2025-03-24T00:00:00.000Z,4.38,8.43,5.72,5.17,6.42,0.949,24
2025-03-25T00:00:00.000Z,4.76,11.54,6.74,6.38,8.14,1.607,24
2025-03-26T00:00:00.000Z,4.68,8.25,6.18,5.4,6.85,0.938,24
2025-03-27T00:00:00.000Z,2.47,5.14,3.97,2.87,4.76,0.965,8
2025-03-28T00:00:00.000Z,4.68,8.73,5.98,5.13,7.02,1.183,20
2025-03-29T00:00:00.000Z,4.03,6.44,4.73,4.36,5.01,0.57,24
2025-03-30T00:00:00.000Z,3.23,5.99,4.54,3.97,5.19,0.714,24
2025-03-31T00:00:00.000Z,3.97,8.09,5.5,4.65,6.9,1.327,24
2025-04-01T00:00:00.000Z,4.15,7.76,4.86,4.49,5.64,0.862,24
2025-04-02T00:00:00.000Z,3.65,5.73,4.71,4.17,5.05,0.544,24
2025-04-03T00:00:00.000Z,4.45,8.63,5.45,5.19,6,0.917,24
2025-04-04T00:00:00.000Z,4.57,10.19,5.42,4.91,6.5,1.422,24
2025-04-05T00:00:00.000Z,5,7.54,5.66,5.29,6.38,0.762,24
2025-04-06T00:00:00.000Z,4.25,6.36,5.2,4.76,5.66,0.568,24
2025-04-07T00:00:00.000Z,3.04,5.52,4.83,4.16,5.05,0.651,24
2025-04-08T00:00:00.000Z,3.92,5.82,4.88,4.5,5.22,0.469,24
2025-04-09T00:00:00.000Z,4.49,7.8,5.62,5.05,6.57,0.968,24
2025-04-10T00:00:00.000Z,2.46,7.12,5.13,4.04,6.28,1.395,24
2025-04-11T00:00:00.000Z,3.74,7.5,4.5,4.22,5.09,1.022,24
2025-04-12T00:00:00.000Z,6.13,9.61,7.47,6.49,8.11,0.983,24
2025-04-13T00:00:00.000Z,7.56,16.57,10.85,9,11.91,2.025,23
2025-04-14T00:00:00.000Z,6.82,9.44,8.33,7.18,8.86,0.794,24
2025-04-15T00:00:00.000Z,6.36,8.81,7.66,7.19,8.02,0.542,24
2025-04-16T00:00:00.000Z,6.76,8.36,7.25,7.05,7.6,0.366,24
2025-04-17T00:00:00.000Z,2.54,7.08,4.72,3.29,6.38,1.57,24
2025-04-18T00:00:00.000Z,5.76,8.42,7.1,6.51,7.63,0.778,24
2025-04-19T00:00:00.000Z,6.57,8.86,7.4,7.02,8.16,0.643,21
2025-04-20T00:00:00.000Z,5.44,8.26,6.55,5.85,7.08,0.765,24
2025-04-21T00:00:00.000Z,6.74,12.07,9.31,8.32,9.72,1.352,24
2025-04-22T00:00:00.000Z,5.96,10.41,7.58,6.87,8.5,1.118,24
2025-04-23T00:00:00.000Z,8.61,11.07,9.27,9.05,9.91,0.596,24
2025-04-24T00:00:00.000Z,5.64,9.32,7.53,6.62,8.59,1.114,24
2025-04-25T00:00:00.000Z,3.94,6.73,5.18,4.55,5.4,0.607,24
2025-04-26T00:00:00.000Z,3.91,5.35,4.34,4.13,4.7,0.386,24
2025-04-27T00:00:00.000Z,4.3,8.77,5.8,4.97,7.7,1.555,24
2025-04-28T00:00:00.000Z,6.03,9.21,7.74,7.55,8.52,0.807,24
2025-04-29T00:00:00.000Z,6.76,15.47,8.81,8.25,9.21,1.768,23
2025-04-30T00:00:00.000Z,7.92,10.19,9.02,8.52,9.6,0.639,24
2025-05-01T00:00:00.000Z,7.05,10.08,8.73,7.89,9.48,0.953,24
2025-05-02T00:00:00.000Z,4.07,9.48,7.96,7.11,8.4,1.585,21
2025-05-03T00:00:00.000Z,4.01,8.71,5.16,4.63,7.92,1.672,20
